word,definition,difficulty
example,a set of facts or circumstances demonstrating a point,medium
practice,the act of doing something repeatedly to improve skill,medium
beautiful,very pleasing to look at or experience,easy
accomplish,to successfully complete or achieve something,advanced
together,with each other; in unity or cooperation,medium
determine,to decide or settle something conclusively,advanced
because,for the reason that; since,easy
different,not the same as another or each other,easy
important,having great significance or value,medium
information,facts or details about something,medium